rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
8.4,8.372727272727273,nan,8.4,nan,nan,8.4,nan,nan,8.4,8.2,8.2,8.4,8.2,8.2,8.4,nan,nan,8.4,nan,nan,8.4
7.3,7.791176470588233,nan,7.3,nan,nan,7.3,nan,nan,7.3,nan,nan,7.3,nan,nan,7.3,7.3,7.3,7.299999999999999,7.8,7.8,7.345454545454545
8.5,8.35,8.4,8.45,nan,nan,8.5,nan,nan,8.5,nan,nan,8.5,nan,nan,8.5,nan,nan,8.5,nan,nan,8.488888888888889
7.4,7.724324324324325,7.3,7.355555555555554,nan,nan,7.4,nan,nan,7.4,nan,nan,7.4,nan,nan,7.4,7.3199999999999985,7.3199999999999985,7.356666666666666,nan,nan,7.400000000000002
8.1,8.360869565217392,nan,8.1,8.2,8.2,8.149999999999999,nan,nan,8.1,nan,nan,8.1,8.2,8.2,8.125,nan,nan,8.1,nan,nan,8.1
8.1,8.217391304347824,8.1,8.0875,8.0,8.0,8.06,nan,nan,8.1,8.3,8.3,nan,8.15,8.15,8.075,8.2,8.2,8.11,nan,nan,8.1
7.9,8.100000000000001,8.25,8.0,8.3,8.3,8.200000000000001,nan,nan,7.900000000000001,nan,nan,7.900000000000001,8.3,8.3,8.05,nan,nan,7.900000000000001,nan,nan,7.900000000000001
7.8,8.05,nan,7.8,nan,nan,7.8,nan,nan,7.8,8.4,8.4,7.8,8.4,8.4,7.8,nan,nan,7.8,8.4,8.4,7.8
8.1,8.2,nan,8.1,nan,nan,nan,nan,nan,nan,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1
8.4,8.075,nan,8.4,nan,nan,nan,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,7.8,7.8,8.4,8.2,8.2,8.384615384615385
7.4,7.710810810810811,7.35,7.375000000000001,nan,nan,7.4,7.4,7.4,7.3999999999999995,8.5,8.5,7.4,7.95,7.95,7.3999999999999995,7.4,7.4,7.3999999999999995,7.5200000000000005,7.5200000000000005,7.447368421052632
8.1,8.226315789473684,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1
8.2,8.229999999999999,8.1,8.166666666666664,nan,nan,8.2,8.1,8.1,8.333333333333334,nan,nan,8.2,8.1,8.1,8.257142857142856,nan,nan,8.2,nan,nan,8.2
8.3,8.32857142857143,8.1,8.233333333333333,8.1,8.1,8.233333333333333,8.1,8.1,8.233333333333333,nan,nan,8.3,8.1,8.1,8.25,nan,nan,8.3,nan,nan,8.3
8.7,8.372,8.4,8.55,8.4,8.4,8.55,8.4,8.4,8.55,nan,nan,8.7,8.4,8.4,8.580000000000002,8.4,8.4,8.625,8.4,8.4,8.64
8.6,8.255555555555555,8.1,8.25,8.333333333333334,8.333333333333334,8.4,8.1,8.1,8.466666666666667,nan,nan,8.6,8.275,8.275,8.475,8.4,8.4,8.6,nan,nan,8.6
7.4,7.869999999999999,7.366666666666667,7.378571428571431,nan,nan,7.400000000000003,nan,nan,7.4,nan,nan,7.4,nan,nan,7.400000000000002,7.325,7.325,7.372000000000001,nan,nan,7.400000000000001
7.8,8.350000000000001,nan,7.8,nan,nan,7.8,nan,nan,7.8,nan,nan,7.8,nan,nan,7.8,8.3,8.3,7.925000000000001,8.2,8.2,7.88
