rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
8.1,8.372727272727273,nan,nan,8.2,8.2,8.2,nan,nan,nan,nan,nan,nan,8.2,8.2,8.2,nan,nan,nan,nan,nan,nan
8.1,8.245454545454546,8.1,8.1,8.0,8.0,8.0,nan,nan,nan,8.3,8.3,nan,8.15,8.15,8.0,8.2,8.2,8.2,nan,nan,nan
7.9,8.158333333333333,8.25,8.3,8.3,8.3,8.45,nan,nan,nan,nan,nan,nan,8.3,8.3,8.45,nan,nan,nan,nan,nan,nan
7.8,8.3,nan,nan,nan,nan,nan,nan,nan,nan,8.4,8.4,nan,8.4,8.4,nan,nan,nan,nan,8.4,8.4,nan
8.1,8.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.4,8.047058823529412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.8,7.8,nan,8.2,8.2,8.2
7.4,7.864285714285715,7.35,7.35,nan,nan,nan,7.4,7.4,7.4,8.5,8.5,nan,7.95,7.95,7.4,7.4,7.4,7.4,7.55,7.55,7.55
8.1,8.207142857142859,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.2,8.209090909090909,8.1,8.1,nan,nan,nan,8.1,8.1,nan,nan,nan,nan,8.1,8.1,nan,nan,nan,nan,nan,nan,nan
8.3,8.330769230769231,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,nan,nan,nan,8.1,8.1,8.1,nan,nan,nan,nan,nan,nan
8.7,8.360869565217392,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,nan,nan,nan,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
8.6,8.216666666666667,8.1,8.1,8.333333333333334,8.333333333333334,8.0,8.1,8.1,nan,nan,nan,nan,8.275,8.275,8.0,8.4,8.4,nan,nan,nan,nan
7.4,8.036,7.366666666666667,7.366666666666667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.333333333333333,7.333333333333333,7.333333333333333,nan,nan,nan
7.8,8.372,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.3,8.3,8.3,8.2,8.2,8.2
8.1,8.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.1,8.1,8.1,nan,nan,nan
8.1,8.249999999999998,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.166666666666666,8.166666666666666,8.149999999999999
8.0,8.224242424242426,8.2,8.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.2625,8.2625,8.27142857142857,nan,nan,nan
8.9,8.337037037037037,nan,nan,8.3,8.3,8.3,nan,nan,nan,8.3,8.3,8.3,8.3,8.3,8.3,nan,nan,nan,8.2,8.2,8.2
8.3,8.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.5,8.321428571428573,8.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.1,8.1,nan
8.3,8.337037037037037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.3,8.221212121212123,nan,nan,8.5,8.5,8.5,nan,nan,nan,nan,nan,nan,8.5,8.5,8.5,nan,nan,nan,nan,nan,nan
8.4,8.294594594594594,8.45,8.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.35,8.35,8.35,8.166666666666666,8.166666666666666,8.166666666666666
8.2,8.249999999999998,8.4,nan,nan,nan,nan,nan,nan,nan,8.350000000000001,8.350000000000001,8.3,8.350000000000001,8.350000000000001,8.3,nan,nan,nan,8.4,8.4,nan
8.4,8.162962962962963,8.2,8.2,8.4,8.4,8.3,nan,nan,nan,nan,nan,nan,8.4,8.4,8.3,nan,nan,nan,8.45,8.45,8.2
8.1,8.256410256410257,8.1,nan,8.2,8.2,nan,8.3,8.3,8.3,nan,nan,nan,8.25,8.25,8.3,nan,nan,nan,7.8,7.8,nan
8.2,8.3175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.4,8.127586206896552,8.228571428571428,8.228571428571428,8.1,8.1,8.1,8.3,8.3,nan,nan,nan,nan,8.166666666666666,8.166666666666666,8.1,8.149999999999999,8.149999999999999,8.149999999999999,7.8,7.8,nan
7.3,7.965217391304347,7.375,7.375,nan,nan,nan,nan,nan,nan,7.3,7.3,7.3,7.3,7.3,7.3,7.359999999999999,7.359999999999999,7.359999999999999,7.75,7.75,7.75
8.3,8.260000000000002,8.433333333333332,nan,8.4,8.4,nan,nan,nan,nan,nan,nan,nan,8.4,8.4,nan,nan,nan,nan,8.05,8.05,nan
8.6,8.238095238095237,8.25,8.25,nan,nan,nan,8.0,8.0,nan,nan,nan,nan,8.0,8.0,nan,8.466666666666667,8.466666666666667,8.2,8.399999999999999,8.399999999999999,8.1
8.0,8.254761904761907,8.3,8.5,8.5,8.5,8.5,8.2,8.2,nan,nan,nan,nan,8.35,8.35,8.5,8.4,8.4,8.4,8.0,8.0,8.0
8.3,8.243478260869566,8.4,8.4,8.3,8.3,8.3,nan,nan,nan,8.4,8.4,8.4,8.350000000000001,8.350000000000001,8.350000000000001,nan,nan,nan,8.3,8.3,8.3
7.8,7.976923076923076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.8,8.239583333333334,nan,nan,8.1,8.1,8.1,nan,nan,nan,7.8,7.8,nan,7.949999999999999,7.949999999999999,8.1,8.475000000000001,8.475000000000001,8.600000000000001,7.4,7.4,7.4
8.1,8.335135135135136,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.6,8.200000000000003,nan,nan,7.9,7.9,7.9,nan,nan,nan,nan,nan,nan,7.9,7.9,7.9,8.5,8.5,8.5,8.4,8.4,8.4
7.3,8.075,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.25,8.25,8.25,nan,nan,nan
7.7,8.22,8.200000000000001,8.25,8.4,8.4,nan,8.1,8.1,nan,nan,nan,nan,8.25,8.25,nan,nan,nan,nan,nan,nan,nan
8.4,8.198,8.3,8.3,nan,nan,nan,8.3,8.3,8.3,nan,nan,nan,8.3,8.3,8.3,8.2,8.2,8.2,8.333333333333334,8.333333333333334,8.333333333333334
8.1,8.236363636363635,nan,nan,nan,nan,nan,nan,nan,nan,8.399999999999999,8.399999999999999,8.399999999999999,8.399999999999999,8.399999999999999,8.399999999999999,nan,nan,nan,7.949999999999999,7.949999999999999,8.1
8.4,8.3,nan,nan,8.1,8.1,nan,nan,nan,nan,nan,nan,nan,8.1,8.1,nan,nan,nan,nan,nan,nan,nan
8.1,8.175471698113208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.6,8.6,8.6
7.5,8.062857142857142,7.3,7.3,7.3,7.3,7.3,nan,nan,nan,nan,nan,nan,7.3,7.3,7.3,7.933333333333334,7.933333333333334,7.800000000000001,7.6,7.6,7.6
8.3,8.179629629629629,7.8,7.8,7.8,7.8,7.8,nan,nan,nan,nan,nan,nan,7.8,7.8,7.8,8.05,8.05,8.05,7.8,7.8,7.8
7.8,8.010000000000002,8.28888888888889,8.366666666666667,nan,nan,nan,nan,nan,nan,7.2,7.2,nan,7.2,7.2,nan,nan,nan,nan,8.2,8.2,nan
7.2,7.960526315789475,7.2,7.2,nan,nan,nan,nan,nan,nan,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,nan,nan,nan
8.5,8.156521739130437,8.075,8.25,7.7,7.7,nan,8.1,8.1,nan,8.1,8.1,nan,7.966666666666666,7.966666666666666,nan,8.05,8.05,7.9,nan,nan,nan
7.8,8.031578947368422,nan,nan,7.4,7.4,7.4,nan,nan,nan,nan,nan,nan,7.4,7.4,7.4,nan,nan,nan,7.7,7.7,7.7
7.8,7.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4,8.4,nan
8.1,7.925,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.9,8.107692307692307,8.149999999999999,8.149999999999999,7.949999999999999,7.949999999999999,7.949999999999999,nan,nan,nan,nan,nan,nan,7.949999999999999,7.949999999999999,7.949999999999999,8.25,8.25,nan,7.9,7.9,7.9
8.0,8.208620689655172,8.350000000000001,8.350000000000001,8.4,8.4,8.4,nan,nan,nan,nan,nan,nan,8.4,8.4,8.4,8.333333333333334,8.333333333333334,8.333333333333334,nan,nan,nan
8.0,8.1,7.699999999999999,7.6,7.8,7.8,7.8,nan,nan,nan,nan,nan,nan,7.8,7.8,7.8,7.4,7.4,7.4,nan,nan,nan
7.0,8.0275,7.4,7.4,7.533333333333334,7.533333333333334,7.533333333333334,nan,nan,nan,nan,nan,nan,7.533333333333334,7.533333333333334,7.533333333333334,8.2,8.2,8.2,7.625,7.625,7.625
8.9,8.1,8.2,8.2,7.8,7.8,7.8,8.2,8.2,8.2,8.2,8.2,8.2,8.12,8.12,8.12,8.3,8.3,8.3,nan,nan,nan
8.2,8.26734693877551,8.3,8.3,8.3,8.3,8.3,nan,nan,nan,nan,nan,nan,8.3,8.3,8.3,8.3,8.3,8.3,nan,nan,nan
8.2,8.249122807017544,nan,nan,8.1,8.1,8.1,8.0,8.0,8.0,nan,nan,nan,8.05,8.05,8.05,nan,nan,nan,nan,nan,nan
7.9,8.249122807017544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.3,8.3,8.3
8.0,8.165151515151512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,8.0,8.0,nan,nan,nan
7.6,7.811111111111114,7.2,7.2,nan,nan,nan,7.2,7.2,7.2,nan,nan,nan,7.2,7.2,7.2,7.74,7.74,7.366666666666667,7.5,7.5,7.387499999999999
6.9,8.002439024390245,nan,nan,7.4,7.4,7.4,nan,nan,nan,nan,nan,nan,7.4,7.4,7.4,nan,nan,nan,7.557142857142857,7.557142857142857,7.546153846153847
8.3,8.28,8.16,nan,nan,nan,nan,nan,nan,nan,6.9,6.9,nan,6.9,6.9,nan,nan,nan,nan,nan,nan,nan
8.0,8.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,7.957894736842106,nan,nan,8.149999999999999,8.149999999999999,8.1,nan,nan,nan,8.1,8.1,nan,8.133333333333333,8.133333333333333,8.1,nan,nan,nan,nan,nan,nan
8.0,8.248437500000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.133333333333333,8.133333333333333,8.149999999999999
8.2,8.186206896551724,nan,nan,8.149999999999999,8.149999999999999,8.2,8.149999999999999,8.149999999999999,8.2,nan,nan,nan,8.149999999999999,8.149999999999999,8.2,8.3,8.3,8.2,nan,nan,nan
7.4,8.248148148148148,nan,nan,nan,nan,nan,8.0,8.0,8.0,nan,nan,nan,8.0,8.0,8.0,8.2,8.2,8.2,8.2,8.2,8.2
8.0,8.248148148148148,nan,nan,8.0,8.0,8.0,nan,nan,nan,nan,nan,nan,8.0,8.0,8.0,7.949999999999999,7.949999999999999,7.8,8.4,8.4,8.4
6.8,7.96818181818182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.542857142857143,7.542857142857143,7.3,7.4,7.4,7.4
8.1,7.903225806451616,nan,nan,8.4,8.4,8.3,nan,nan,nan,nan,nan,nan,8.4,8.4,8.3,nan,nan,nan,8.2,8.2,nan
7.7,8.177611940298506,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.4,8.4,8.4,nan,nan,nan
8.0,8.227118644067795,8.0,nan,8.3,8.3,8.3,8.2,8.2,8.2,nan,nan,nan,8.25,8.25,8.25,8.0,8.0,8.0,nan,nan,nan
7.1,7.882352941176472,7.333333333333333,7.333333333333333,7.6,7.6,7.6,nan,nan,nan,7.425000000000001,7.425000000000001,7.425000000000001,7.460000000000001,7.460000000000001,7.460000000000001,7.6,7.6,7.6,7.475,7.475,7.371428571428572
8.4,8.198550724637684,8.183333333333334,8.120000000000001,nan,nan,nan,nan,nan,nan,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,nan,nan,nan
6.7,7.927659574468087,7.8,7.8,7.3,7.3,7.3,nan,nan,nan,6.9,6.9,6.9,7.233333333333333,7.233333333333333,7.233333333333333,8.0,8.0,8.0,8.0,8.0,8.0
