estimator,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
Dummy,0.69180821482046218,0.83006855738801888,0.58103044496486955,-2.6305922625087565e+29
SVR_linear,0.061831130296091386,0.01112695943149611,0.040821871974314305,0.98534382546410881
SVR_rbf,0.094169464827396368,0.10792652539616863,0.052331572815167426,0.82867582653625682
KNN,0.11391100702576117,0.033199063231850116,0.079999999999999183,0.94663996158864827
Random Forest,0.047025761124122427,0.017104918032786878,2.6645352591003757e-15,0.97581196884042032
