estimator,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
Dummy,0.69180821482046218,0.83006855738801888,0.58103044496486955,-2.6305922625087565e+29
SVR_linear,0.061643540261996012,0.011098734079240214,0.040675575547300724,0.98539079885067005
SVR_rbf,0.11027493768637912,0.14272953889043552,0.055868357845321626,0.75703364610166224
KNN,0.14524590163934428,0.051530679156908676,0.099999999999999645,0.9099030486804266
Random Forest,0.045456674473068823,0.013743091334894601,4.4408920985006262e-15,0.98125650705784528
