estimator,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
Dummy,0.69180821482046218,0.83006855738801888,0.58103044496486955,-2.6305922625087565e+29
SVR_linear,0.062403072335692443,0.011946104847545295,0.041257588708377035,0.9841596762742264
SVR_rbf,0.077381594811459217,0.033527925096348325,0.043924995511902765,0.94808505001217058
KNN,0.13362997658079628,0.040499297423887595,0.099999999999999645,0.93247833698581917
Random Forest,0.049039812646370876,0.019876346604215448,3.5527136788005009e-15,0.97107448488887649
