estimator,mean_absolute_error,mean_squared_error,median_absolute_error,r2_score
Dummy,0.69180821482046218,0.83006855738801888,0.58103044496486955,-2.6305922625087565e+29
SVR_linear,0.06240307233569331,0.011946104847544051,0.041257588708329962,0.98415967627422718
SVR_rbf,0.077381594811458801,0.033527925096348332,0.043924995511898324,0.94808505001217058
KNN,0.13362997658079628,0.040499297423887595,0.099999999999999645,0.93247833698581917
Random Forest,0.043606557377049639,0.0133423887587822,2.6645352591003757e-15,0.98161202206196596
