75612,"['Shelley Duvall', 'Sissy Spacek', 'Janice Rule']"
450385,"['John Cusack', 'Samuel L. Jackson', 'Mary McCormack']"
283832,"['Fanny Ardant', u'Emmanuelle B\xe9art', 'Danielle Darrieux']"
82307,"['Catriona MacColl', 'David Warbeck', 'Cinzia Monreale']"
478087,"['Jim Sturgess', 'Kate Bosworth', 'Kevin Spacey']"
191754,"['Sandra Bullock', 'Viggo Mortensen', 'Dominic West']"
134273,"['Nicolas Cage', 'Joaquin Phoenix', 'James Gandolfini']"
46672,"['Kirk Douglas', 'James Mason', 'Paul Lukas']"
1032846,"['Anamaria Marinca', 'Vlad Ivanov', 'Laura Vasiliu']"
1712159,"['Timothy Gibbs', 'Michael Landes', 'Wendy Glenn']"
2059171,"['Mark Webber', 'Devon Graye', 'Tom Bower']"
1554091,"['Demian Bichir', u'Jos\xe9 Juli\xe1n', ""Eddie 'Piolin' Sotelo""]"
1335975,"['Keanu Reeves', 'Hiroyuki Sanada', 'Ko Shibasaki']"
499603,"['Morgan Freeman', 'Paz Vega', 'Jonah Hill']"
1680045,"['Rachel Weisz', 'Jude Law', 'Anthony Hopkins']"
50083,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']"
2024544,"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender']"
2375559,"['Mahesh Babu', 'Kriti Sanon', 'Nasser']"
1179069,"['Julianne Moore', 'Jonathan Rhys Meyers', 'Jeffrey DeMunn']"
988595,"['Katherine Heigl', 'James Marsden', 'Malin Akerman']"
78721,"['Dudley Moore', 'Bo Derek', 'Julie Andrews']"
243736,"['Josh Hartnett', 'Shannyn Sossamon', 'Paulo Costanzo']"
315733,"['Sean Penn', 'Benicio Del Toro', 'Naomi Watts']"
268978,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly']"
147800,"['Heath Ledger', 'Julia Stiles', 'Joseph Gordon-Levitt']"
2172934,"['Kevin Costner', 'Hailee Steinfeld', 'Connie Nielsen']"
115438,"['Teri Hatcher', 'Jeff Daniels', 'Danny Aiello']"
443649,"['Camilla Belle', 'Steven Strait', 'Marco Khan']"
157262,"['Leslie Nielsen', u'Oph\xe9lie Winter', 'Ezio Greggio']"
120633,"['John Travolta', 'Robert Duvall', 'Kathleen Quinlan']"
120577,"['Ryan Phillippe', 'Salma Hayek', 'Sela Ward']"
2186812,"['Virginie Efira', 'Pierre Niney', 'Charles Berling']"
360323,"['James Marsden', 'Giovanni Ribisi', 'Brad Renfro']"
88915,"['Michael Douglas', 'Terrence Mann', 'Michael Blevins']"
2614684,"[""Jack O'Connell"", 'Sam Reid', 'Sean Harris']"
103596,"['Victor Wong', 'Michael Treanor', 'Max Elliott Slade']"
974661,"['Zac Efron', 'Matthew Perry', 'Leslie Mann']"
899128,"['Famke Janssen', 'Bobby Cannavale', 'Ed Westwick']"
354356,"['Valeria Bruni Tedeschi', u'St\xe9phane Freiss', u'Fran\xe7oise Fabian']"
1542344,"['James Franco', 'Amber Tamblyn', 'Kate Mara']"
68156,"['William Daniels', 'Howard Da Silva', 'Ken Howard']"
24034,"['Warner Baxter', 'Bebe Daniels', 'George Brent']"
914837,"['Ray Winstone', 'Ian McShane', 'John Hurt']"
331811,"['Henry Thomas', 'Colin Hanks', 'Ben Foster']"
463854,"['Jeremy Renner', 'Rose Byrne', 'Robert Carlyle']"
875113,"['Jean Dujardin', 'Jocelyn Quivrin', 'Patrick Mille']"
453562,"['Chadwick Boseman', 'T.R. Knight', 'Harrison Ford']"
118541,"['Joe Pesci', 'Andy Comeau', 'Kristy Swanson']"
1975249,"['Jean-Claude Van Damme', 'Joe Flanigan', 'Anna-Louise Plowman']"
85127,"['Jackie Chan', 'Sammo Hung Kam-Bo', 'Biao Yuen']"
472582,"['Teresa Palmer', 'Frank Sweet', 'Sam Harris']"
381849,"['Russell Crowe', 'Christian Bale', 'Ben Foster']"
1486193,"['Rupert Friend', 'Emmanuelle Chriqui', 'Richard Coyle']"
214388,"['Jonathan Tucker', 'Emmanuelle Chriqui', 'James DeBello']"
75784,"['Sean Connery', ""Ryan O'Neal"", 'Michael Caine']"
137338,"['Ben Affleck', 'Casey Affleck', 'Dave Chappelle']"
1022603,"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend']"
1272878,"['Denzel Washington', 'Mark Wahlberg', 'Paula Patton']"
1622547,"['Jesse Eisenberg', 'Danny McBride', 'Nick Swardson']"
337563,"['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer']"
488478,"['Sergey Makovetskiy', 'Sergey Garmash', 'Apti Magamaev']"
264323,"['Robert Englund', 'Lin Shaye', 'Giuseppe Andrews']"
1715873,"['Channing Tatum', 'Rosario Dawson', 'Chris Pratt']"
66921,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates']"
343660,"['Adam Sandler', 'Drew Barrymore', 'Rob Schneider']"
86837,"['Roy Scheider', 'John Lithgow', 'Helen Mirren']"
62622,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester']"
50086,"['Glenn Ford', 'Van Heflin', 'Felicia Farr']"
120623,"['Kevin Spacey', 'Dave Foley', 'Julia Louis-Dreyfus']"
37800,"['Wendy Hiller', 'Roger Livesey', 'George Carney']"
109015,"['Victor Wong', 'Max Elliott Slade', 'Sean Fox']"
1067106,"['Jim Carrey', 'Gary Oldman', 'Colin Firth']"
475169,"['George Babluani', u'Aur\xe9lien Recoing', 'Pascal Bongard']"
2294449,"['Channing Tatum', 'Jonah Hill', 'Ice Cube']"
417385,"['Conor Donovan', 'Jesse Camacho', 'Zoe Weizenbaum']"
411705,"[""Kieran O'Brien"", 'Margo Stilley', 'The Dandy Warhols']"
237993,"[u'Hilmir Sn\xe6r Gu\xf0nason', 'Victoria Abril', u'Hanna Mar\xeda Karlsd\xf3ttir']"
126765,"['August Diehl', 'Fabian Busch', 'Dieter Landuris']"
85334,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin']"
94137,"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson']"
274309,"['Steve Coogan', 'Lennie James', 'John Thomson']"
112691,"['Peter Sallis', 'Anne Reid']"
92494,"['Hume Cronyn', 'Jessica Tandy', 'Frank McRae']"
298203,"['Eminem', 'Brittany Murphy', 'Kim Basinger']"
1187043,"['Aamir Khan', 'Madhavan', 'Mona Singh']"
106489,"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato']"
92501,"['Jackie Chan', 'Maggie Cheung', 'Rosamund Kwan']"
2247692,"['Jay Bastian', 'Joe Biden', 'Cait Brasel']"
118539,"['Loni Anderson', 'Hulk Hogan', 'Jim Varney']"
389722,"['Josh Hartnett', 'Melissa George', 'Danny Huston']"
1306980,"['Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick']"
349047,"['Michael Herbig', 'Rick Kavanian', 'Christian Tramitz']"
2920540,"['Nick Cave', 'Susie Bick', 'Warren Ellis']"
1725795,"['Suriya', 'Shruti K. Haasan', 'Johnny Nguyen']"
417397,"['Artur Smolyaninov', 'Aleksey Chadov', 'Konstantin Kryukov']"
83511,"['Nick Nolte', 'Eddie Murphy', ""Annette O'Toole""]"
56801,"['Marcello Mastroianni', u'Anouk Aim\xe9e', 'Claudia Cardinale']"
307901,"['Edward Norton', 'Barry Pepper', 'Philip Seymour Hoffman']"
90570,"['Anne Bancroft', 'Anthony Hopkins', 'Judi Dench']"
115433,"['Glenn Close', 'Jeff Daniels', 'Joely Richardson']"
356470,"['Hilary Duff', 'Chad Michael Murray', 'Jennifer Coolidge']"
486576,"['Ioan Gruffudd', 'Jessica Alba', 'Chris Evans']"
1602472,"['Julie Delpy', 'Chris Rock', 'Albert Delpy']"
411061,"['Al Pacino', 'Alicia Witt', 'Ben McKenzie']"
72730,"['Don Johnson', 'Jason Robards', 'Susanne Benton']"
1975159,"['Leslie Bibb', 'Ryan Kwanten', 'Amy Smart']"
2659414,"['Seung-ryong Ryu', 'So Won Kal', 'Dal-su Oh']"
416449,"['Gerard Butler', 'Lena Headey', 'David Wenham']"
90563,"['Jean-Hugues Anglade', u'B\xe9atrice Dalle', u'G\xe9rard Darmon']"
103594,"[u'G\xe9rard Depardieu', 'Armand Assante', 'Sigourney Weaver']"
212712,"['Tony Chiu Wai Leung', 'Ziyi Zhang', 'Faye Wong']"
1232829,"['Jonah Hill', 'Channing Tatum', 'Ice Cube']"
69697,"['Terence Hill', 'Bud Spencer', 'Patty Shepard']"
211181,"['Glenn Close', u'G\xe9rard Depardieu', 'Ioan Gruffudd']"
322259,"['Paul Walker', 'Tyrese Gibson', 'Cole Hauser']"
78723,"['John Belushi', 'Dan Aykroyd', 'Treat Williams']"
450232,"['Bruce Willis', 'Yasiin Bey', 'David Morse']"
179626,"['Robert De Niro', 'Edward Burns', 'Kelsey Grammer']"
2395385,"['Rhys Wakefield', 'Logan Miller', 'Ashley Hinshaw']"
2372678,"['Arjun Kapoor', 'Alia Bhatt', 'Amrita Singh']"
841044,"['Julie Delpy', 'Adam Goldberg', u'Daniel Br\xfchl']"
1160368,"['John Cena', 'Ashley Scott', 'Aidan Gillen']"
289043,"['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston']"
1253863,"['Sullivan Stapleton', 'Eva Green', 'Lena Headey']"
1711425,"['Miles Teller', 'Justin Chon', 'Jonathan Keltz']"
40064,"['John Wayne', u'Pedro Armend\xe1riz', 'Harry Carey Jr.']"
1514041,"['Emma Roberts', 'Tamsin Egerton', 'Ophelia Lovibond']"
1817081,"['Justin Long', ""Keir O'Donnell"", 'Evan Rachel Wood']"
259822,"['Milla Jovovich', 'Angus Macfadyen', 'Stephen Dorff']"
98966,"['Tom Selleck', 'Steve Guttenberg', 'Ted Danson']"
233142,"['Kurt Russell', 'Kevin Costner', 'Courteney Cox']"
110882,"['Katrin Cartlidge', 'Rade Serbedzija', u'Gr\xe9goire Colin']"
298744,"['Greg Kinnear', 'Willem Dafoe', 'Maria Bello']"
118689,"['Rowan Atkinson', 'Peter MacNicol', 'John Mills']"
1540741,"['Sam Rockwell', 'Jeffrey Wright', 'Kelly Reilly']"
77975,"['John Belushi', 'Karen Allen', 'Tom Hulce']"
101420,"['Brian Salzberg', 'Donna Dempsey', 'Stephen Charles Barry']"
75686,"['Woody Allen', 'Diane Keaton', 'Tony Roberts']"
1780762,"['Eli Roth', 'Ariel Levy', u'Nicol\xe1s Mart\xednez']"
96913,"['Eric Roberts', 'James Earl Jones', 'Sally Kirkland']"
247196,"['Javier Bardem', 'Johnny Depp', u'Olatz L\xf3pez Garmendia']"
101329,"['James Stewart', 'John Cleese', 'Amy Irving']"
99091,"['Rob Lowe', 'James Spader', 'Lisa Zane']"
52600,"['Vladimir Ivashov', 'Zhanna Prokhorenko', 'Antonina Maksimova']"
284837,"['Sacha Baron Cohen', 'Emilio Rivera', 'Gina La Piana']"
169547,"['Kevin Spacey', 'Annette Bening', 'Thora Birch']"
762073,"['Kang-ho Song', 'Ok-bin Kim', 'Hae-suk Kim']"
211933,"['Hayden Christensen', 'Jessica Alba', 'Terrence Howard']"
109117,"['Aamir Khan', 'Salman Khan', 'Raveena Tandon']"
61385,"['Robert Redford', 'Jane Fonda', 'Charles Boyer']"
1311060,"['Adam Scott', 'Richard Jenkins', ""Catherine O'Hara""]"
92563,"['Mickey Rourke', 'Robert De Niro', 'Lisa Bonet']"
61369,"['Roger Carel', 'Jacques Morel', 'Pierre Tornade']"
466856,"['T.I.', 'Lauren London', 'Evan Ross']"
43278,"['Gene Kelly', 'Leslie Caron', 'Oscar Levant']"
106246,"['Ethan Hawke', 'Vincent Spano', 'Josh Hamilton']"
118607,"['Djimon Hounsou', 'Matthew McConaughey', 'Anthony Hopkins']"
60438,"['Zero Mostel', 'Phil Silvers', 'Buster Keaton']"
2180994,"['Joan Allen', 'Anthony LaPaglia', 'Stephen Lang']"
357413,"['Will Ferrell', 'Christina Applegate', 'Steve Carell']"
364955,"['Max Minghella', 'Sophia Myles', 'John Malkovich']"
2639254,"['Kate Winslet', 'Alan Rickman', 'Stanley Tucci']"
457275,"['Adam Kaufman', 'Catherine Mangan', 'Brad William Henke']"
43338,"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur']"
1187041,"['Jeff Daniels', 'Lauren Graham', 'Lou Taylor Pucci']"
416508,"['Anne Hathaway', 'James McAvoy', 'Julie Walters']"
2125435,"[u'Quvenzhan\xe9 Wallis', 'Dwight Henry', 'Levy Easterly']"
107808,"['Kevin Costner', 'Clint Eastwood', 'Laura Dern']"
118548,"['Clint Eastwood', 'Gene Hackman', 'Ed Harris']"
465375,"['Marc Blucas', 'Jose Pablo Cantillo', 'Emmanuelle Chriqui']"
101258,"['Leslie Cheung', 'Maggie Cheung', 'Andy Lau']"
41113,"['Broderick Crawford', 'John Ireland', 'Joanne Dru']"
120770,"['Chris Kattan', 'Will Ferrell', 'Raquel Gardner']"
1605630,"['Jason Biggs', 'Alyson Hannigan', 'Seann William Scott']"
1280558,"['Anupam Kher', 'Naseeruddin Shah', 'Jimmy Shergill']"
58898,"['Eddie Constantine', 'Anna Karina', 'Akim Tamiroff']"
58947,"['Henry Fonda', 'Robert Shaw', 'Robert Ryan']"
94715,"['Bette Midler', 'Barbara Hershey', 'John Heard']"
437800,"['Angela Bassett', 'Laurence Fishburne', 'Keke Palmer']"
86927,"['Tom Hanks', 'Tawny Kitaen', 'Adrian Zmed']"
1588170,"['Byung-hun Lee', 'Min-sik Choi', 'In-seo Kim']"
99044,"['Eddie Murphy', 'Nick Nolte', 'Brion James']"
115640,"['Glen Berry', 'Linda Henry', 'Meera Syal']"
85154,"['Tom Cruise', 'Lea Thompson', 'Craig T. Nelson']"
106292,"['Richard Dreyfuss', 'Emilio Estevez', ""Rosie O'Donnell""]"
913354,"['Columbus Short', 'Matt Dillon', 'Laurence Fishburne']"
1186830,"['Rachel Weisz', 'Max Minghella', 'Oscar Isaac']"
257360,"['Jack Nicholson', 'Hope Davis', 'Dermot Mulroney']"
127722,"['James Woods', 'Melanie Griffith', 'Vincent Kartheiser']"
1407049,"['Jessica Lowndes', 'Julianna Guill', 'Ryan Donowho']"
244000,"['Colin Farrell', 'Scott Caan', 'Ali Larter']"
799934,"['Jack Black', 'Yasiin Bey', 'Danny Glover']"
1527788,"['Bin Won', 'Sae-ron Kim', 'Tae-hoon Kim']"
82031,"['Dudley Moore', 'Liza Minnelli', 'John Gielgud']"
278295,"['Ice Cube', 'Mike Epps', 'Tommy Flanagan']"
1972571,"['Philip Seymour Hoffman', 'Rachel McAdams', u'Daniel Br\xfchl']"
881891,"['Sandra Bullock', 'Bradley Cooper', 'Thomas Haden Church']"
1590950,"['Sean Bean', 'Danny Dyer', 'Aksel Hennie']"
374526,"['Clark Bartram', 'Andrew Koenig', 'Kurt Carley']"
1726592,"['Nicole Kidman', 'Colin Firth', 'Mark Strong']"
104257,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore']"
389790,"['Jerry Seinfeld', u'Ren\xe9e Zellweger', 'Matthew Broderick']"
429591,"['Emma Roberts', ""Joanna 'JoJo' Levesque"", 'Sara Paxton']"
291003,"[u'Jos\xe9 Dumont', 'Rodrigo Santoro', 'Rita Assemany']"
106375,"['Charles Grodin', 'Bonnie Hunt', 'Nicholle Tom']"
337578,"['Amitabh Bachchan', 'Hema Malini', 'Aman Verma']"
1019452,"['Michael Stuhlbarg', 'Richard Kind', 'Sari Lennick']"
90583,"['Rob Lowe', 'Demi Moore', 'James Belushi']"
74156,"['Austin Stoker', 'Darwin Joston', 'Laurie Zimmer']"
92603,"[u'St\xe9phane Audran', 'Bodil Kjer', 'Birgitte Federspiel']"
976222,"['Aly Michalka', 'Vanessa Hudgens', 'Gaelan Connell']"
158493,"['Nas', 'DMX', 'Taral Hicks']"
80365,"['Richard Gere', 'Lauren Hutton', 'Hector Elizondo']"
1242599,"['Evan Glodell', 'Tyler Dawson', 'Jessie Wiseman']"
1597522,"[u'G\xe9rard Depardieu', 'Dany Boon', 'Edouard Baer']"
50598,"['Charles Chaplin', 'Maxine Audley', 'Jerry Desmonde']"
81974,"['Paul Newman', 'Sally Field', 'Bob Balaban']"
69704,"['Richard Dreyfuss', 'Ron Howard', 'Paul Le Mat']"
473488,"['Robert Downey Jr.', 'Rosario Dawson', 'Shia LaBeouf']"
83530,"['Robert Hays', 'Julie Hagerty', 'Lloyd Bridges']"
295178,"['Mike Myers', u'Beyonc\xe9 Knowles', 'Seth Green']"
46414,"['Humphrey Bogart', 'Jennifer Jones', 'Gina Lollobrigida']"
78841,"['Peter Sellers', 'Shirley MacLaine', 'Melvyn Douglas']"
26778,"['Groucho Marx', 'Chico Marx', 'Harpo Marx']"
384819,"['Aya Ueto', 'Kenji Kohashi', 'Hiroki Narimiya']"
92618,"['Mickey Rourke', 'Faye Dunaway', 'Alice Krige']"
1171222,"['Paula Patton', 'Taye Diggs', 'Jill Scott']"
211946,"['Paul Kalkbrenner', 'Rita Lengyel', 'Corinna Harfouch']"
379306,"['Helen Hunt', 'Scarlett Johansson', 'Tom Wilkinson']"
1849718,"['Hrithik Roshan', 'Priyanka Chopra', 'Sanjay Dutt']"
350261,"['Jennifer Lopez', 'Robert Redford', 'Morgan Freeman']"
395119,"['Viggo Mortensen', 'Elena Anaya', 'Unax Ugalde']"
1611224,"['Benjamin Walker', 'Rufus Sewell', 'Dominic Cooper']"
168786,"['Denzel Washington', 'Derek Luke', 'Joy Bryant']"
92593,"['Gaspard Manesse', u'Raphael Fejt\xf6', 'Francine Racette']"
850253,"[u'Andr\xe9 Benjamin', 'Jennifer Carpenter', u'Isaach De Bankol\xe9']"
490076,"['Amber Heard', 'Anson Mount', 'Whitney Able']"
96874,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson']"
281358,"['Mandy Moore', 'Shane West', 'Peter Coyote']"
424823,"['Dan Fogler', 'Christopher Walken', 'George Lopez']"
1252596,"['Katrina Kaif', 'Ranbir Kapoor', 'Darshan Jariwala']"
2527186,"['Sidney Allison', 'Charon R. Arnold', 'Shay Astar']"
1196334,"['Jason Kulas', 'Peggy McClellan', 'Scott Winters']"
1772240,"['Warren Christie', 'Lloyd Owen', 'Ryan Robbins']"
953318,"['Marijke Pinoy', 'Greg Timmermans', 'Cesar De Sutter']"
478970,"['Paul Rudd', 'Michael Douglas', 'Corey Stoll']"
405296,"['Keanu Reeves', 'Winona Ryder', 'Robert Downey Jr.']"
1559547,"['Alice Englert', 'Viola Davis', 'Emma Thompson']"
405676,"['Sean Penn', 'Jude Law', 'Kate Winslet']"
414852,"['Cyril Raffaelli', 'David Belle', ""Tony D'Amario""]"
337579,"['Ice Cube', 'Cedric the Entertainer', 'Eve']"
372784,"['Christian Bale', 'Michael Caine', 'Ken Watanabe']"
775552,"['Ashley Tisdale', 'Robert Hoffman', 'Carter Jenkins']"
375568,"['Freddie Highmore', 'Nicolas Cage', 'Kristen Bell']"
34492,"['Hardie Albright', 'Stan Alexander', 'Bobette Audrey']"
47849,"['Spencer Tracy', 'Robert Ryan', 'Anne Francis']"
265029,"['Julia Roberts', 'John Cusack', 'Billy Crystal']"
276751,"['Hugh Grant', 'Nicholas Hoult', 'Toni Collette']"
72417,"['Gena Rowlands', 'Peter Falk', 'Fred Draper']"
1418646,"['Brendan Cowell', 'Harrison Gilbertson', 'Steve Le Marquand']"
1431181,"['Jim Broadbent', 'Ruth Sheen', 'Lesley Manville']"
408524,"['Billy Bob Thornton', 'Greg Kinnear', 'Marcia Gay Harden']"
375173,"['Jude Law', 'Sienna Miller', 'Susan Sarandon']"
1731701,"['Jaime King', 'Samuel L. Jackson', 'Madeleine Stack']"
960731,"['Adam Sandler', 'Keri Russell', 'Courteney Cox']"
83624,"['Kevin Van Hentenryck', 'Terri Susan Smith', 'Beverly Bonner']"
455326,"['Dana Snyder', 'Dave Willis', 'Carey Means']"
61391,"['Peter Cook', 'Dudley Moore', 'Eleanor Bron']"
289848,"['Robert De Niro', 'Billy Crystal', 'Lisa Kudrow']"
60665,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw']"
106333,"['Shah Rukh Khan', 'Rakhee Gulzar', 'Kajol']"
870211,"['Matthew Knoll', 'Elliot Ruiz', 'Eric Mehalacopoulos']"
380366,"['Atta Yaqub', 'Eva Birthistle', 'Ahmad Riaz']"
814022,"['Nicolas Cage', 'Charlie Yeung', 'Shahkrit Yamnarm']"
16641,"['Ramon Novarro', 'Francis X. Bushman', 'May McAvoy']"
103793,"['Arno Frisch', 'Angela Winkler', u'Ulrich M\xfche']"
1101026,"['Konstantin Khabenskiy', 'Elizaveta Boyarskaya', 'Sergey Bezrukov']"
249371,"['Shah Rukh Khan', 'Kareena Kapoor', 'Danny Denzongpa']"
71115,"['Ellen Burstyn', 'Kris Kristofferson', 'Mia Bendixsen']"
112453,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda']"
92605,"['Diane Keaton', 'Sam Shepard', 'Harold Ramis']"
317132,"['AnnaSophia Robb', 'Jeff Daniels', 'Eva Marie Saint']"
47522,"['Judy Garland', 'James Mason', 'Jack Carson']"
90670,"['Sean Penn', 'Christopher Walken', 'Mary Stuart Masterson']"
