2614684,1495217,1215876,1621620,1444213,880667,2201646,1764182,2114550,1496068,335498
85127,343165,922559,2248293,2168753,1278545,3487834,1993044,357363,1158641,1116004
92501,343165,2468091,2879779,2896635,1127790,2069496,1221877,2841781,354729,887513
37800,315024,2752576,916484,1239153,1774611,1198001,441925,1414285,2625396,1077034
1022603,757827,2549326,74127,3049149,789506,776848,2358237,2394912,2839136,2144258
349047,866951,1031657,2054484,2856766,1827822,547412,1683893,815840,1828690,867008
92494,431680,3370643,1336473,3149960,314403,226012,31100,2757506,522671,1544637
2395385,2142515,1370674,2753854,2716297,1117037,2026961,1505902,991647,1372966,2375801
82307,2952082,2153975,3040864,1777862,2900769,1674972,481874,382891,1377610,1773381
69697,881378,1927992,3294658,917658,1855584,475277,123085,1611574,1124913,27983
259822,2816117,1236753,535824,3410159,3348858,1138936,1428037,2734449,1721820,569128
2375559,101314,3258820,1452179,1886343,2731596,536164,1866247,1624015,1679396,2114826
78721,1400483,2305335,2548432,2166269,3451149,996251,501126,1870009,454458,3442800
499603,672059,3429413,880638,2574075,2745822,1603836,1761995,868790,2512613,295375
147800,1156558,3344954,757827,3106181,1104915,1035820,3170302,3413724,1370599,1381061
1715873,2005287,2551937,1206608,1376041,944239,1630806,2693705,1223440,2944429,1623214
443649,1961253,2359904,442673,2126476,159926,2264137,125481,2719520,1052196,1711301
899128,2796612,304741,2179806,1556422,2462775,611357,714332,1645907,1920323,2825080
214388,2067645,2472517,487485,2739002,3106181,3171256,3206408,773347,2689985,2375854
115433,2482222,458001,3208225,3160427,1145901,2199309,1870185,1327301,669106,2171934
237993,2276454,800947,2828755,3437109,1090267,2271512,795771,594094,2378999,997491
211181,2482222,502658,786911,2602804,1327301,934506,431226,2955040,1701942,321221
360323,1278787,1698279,1689728,3141746,903669,501126,3456489,1748750,1364304,1161520
1712159,726200,1132264,2676764,404845,871912,2804370,1633776,1657417,3229117,1915672
331811,2024442,871014,2747669,776848,3360221,844998,1793212,823457,659428,1982158
488478,1252475,1365088,705173,688225,1589586,1960845,713051,573342,756273,82495
50083,116506,632856,384803,1279655,1075642,188035,2155611,652690,1982456,152887
1160368,336384,730937,3278000,836337,2182995,1349022,2486357,381311,2068508,471618
2024544,576890,864875,769749,140337,2580894,3278635,3451906,2257464,166653,1334295
417385,534430,297695,3463828,1690053,3277575,2323466,1715166,2539005,1325250,679613
1542344,665867,2969342,3369524,222215,1955067,2201340,1148878,2425556,2806543,807210
337563,2658857,1759268,2696309,1845053,2334471,1682794,114958,2539005,2293195,1277407
2059171,2166208,771138,227340,3466502,1581715,2124622,992394,3410226,1149516,3319054
475169,101163,1678682,213082,2080314,1601992,2121771,2100981,2908941,1163912,1632708
450385,443343,188580,2909694,1181332,1358040,1470985,2735309,3302907,2082603,1625838
103594,502658,87127,3460287,486301,3038401,1693334,2208209,1026287,555855,1135110
179626,481965,277958,765981,251572,2824889,1726177,1995643,2609921,522396,822629
450232,2202473,179928,1415023,3342347,1790948,424328,2256395,1654706,707195,1734682
974661,573366,2967040,1169338,1583796,1943412,3025954,1077728,3399294,777236,1554852
68156,458416,449070,910796,1241950,438848,1619949,655011,894571,1362615,826081
78723,97525,147467,159548,2660111,818738,1157638,1298124,1363337,1501795,1935089
1602472,1725103,2545099,497502,2889352,1445576,2425556,109877,265861,3211434,1866994
841044,744617,2545099,265861,3155453,497502,2889352,979871,1445576,2991765,3287624
115438,21582,434838,458001,2732253,2736716,906410,2985899,1309855,1924970,1957648
322259,2145661,727268,3014161,846360,1220763,133219,1688429,2310718,1482210,565346
1272878,2158757,2141409,3134006,1513542,1566165,276015,1278787,1932189,2154572,640053
2372678,1021218,2373075,3308317,3203318,1754887,1969597,1452658,2460693,2832904,1350525
2186812,2586624,1477354,171705,388145,2676668,2796946,5317,3178462,2328839,480102
2920540,333641,2374129,583950,1153229,2210183,125081,3030678,333613,333622,2228710
46672,539114,1293857,1222478,1212008,2193113,476424,2244379,1048181,860544,408536
137338,15834,15837,2287534,2384089,258091,316608,347573,417898,564131,2612654
264323,589829,3292749,59715,731196,2962076,570851,311497,1959870,2738268,784665
62622,552929,1202035,1984998,1703319,1749091,3410773,147476,1973064,1659331,1369449
157262,1473548,3484001,776958,573656,2824632,1295473,572580,662337,1958792,3164701
86837,1813326,1195719,3032070,112053,552929,1659331,3113507,579301,957568,1321921
2247692,138171,183673,2403172,279052,448141,2552013,765532,1030314,1043548,1501895
212712,1175492,2682189,3487783,1061326,3511110,2896635,345028,2564870,2468091,1327894
1711425,2013204,87711,363895,3492486,1042088,351008,889791,215196,1350863,2936782
478087,1967731,1924819,2395017,2242354,2892947,1608987,640367,1323637,687409,747586
315733,1575553,3459422,927321,3069233,3120687,493214,1470749,2650610,1757138,1278669
1232829,880638,2005287,2894731,665784,1706641,468788,933780,644016,1553990,2839967
2294449,880638,2005287,1959870,1764750,3466683,2359027,933780,1218735,1505314,2005117
126765,516715,280841,1133154,1100818,1017203,2252854,642219,1071929,3404763,1001087
274309,404710,2030103,1621620,961444,2742206,2208512,402727,2156217,405796,1880614
307901,1485993,891496,1576977,2530090,3125853,422904,1889362,2077588,508624,1115459
988595,1048633,2341747,2927847,3150339,2739002,2922902,2396617,2696309,3312199,2500318
191754,2421345,1415449,2177606,3143815,3312535,280795,2068168,1498778,2799211,1796922
289043,1540508,2536943,882648,1819859,1431701,1836048,2727665,924919,556228,2755073
463854,314042,2428683,1690053,1582830,2998430,579148,3164703,1423951,3449640,20629
472582,3122461,1982714,836213,108411,1239374,3331266,3013120,2771250,1982718,3268592
2172934,418235,2736982,3340411,3084987,1167408,1786703,61004,1698710,202091,567635
40064,2164174,76791,311270,212177,2977748,3073721,2524332,1055167,2631776,982917
1187043,1051557,1242709,1000724,2826818,942591,2086848,3308488,957623,1776904,1123863
94137,1840447,799478,459393,3400421,2487186,2299739,2356900,2380683,2380699,220403
98966,1840447,799478,459393,3400421,3463349,334427,2720565,3292185,221558,1229365
103596,2218300,2056435,1895310,1628151,1064891,1336424,2638007,3262084,1983161,1999214
109015,2218300,1895310,663005,213357,2850010,1468860,1336424,2638007,1821733,2034713
118539,892484,2303148,2104178,222564,1498351,1731729,2218300,1336424,2638007,2582775
75612,2580050,3328594,3240414,658492,3077994,431281,3137726,1460214,2768923,3048502
389722,840250,2665660,927321,659428,215387,1689406,3249484,164626,2638264,2039729
1622547,576400,1312080,64184,1981892,3416281,1592583,2822315,2154572,989671,651875
416449,283276,2736692,2177606,2175445,1683276,616820,2211423,1611591,2034425,1797088
233142,1764254,418235,2503000,1895752,1616708,80321,1215620,1206463,370293,2220382
1253863,1939501,2694541,2736692,1298076,1427623,2175445,1797088,1495217,2034425,1449524
1680045,3309441,2970704,1102060,2818731,1147781,1409172,199725,3338905,498007,487436
90563,62584,2519324,461301,2533061,2514998,1298970,1191227,191096,1605387,918342
50086,655139,856008,2610128,2520614,993563,957239,586708,398058,1381275,581641
381849,433650,113933,1172652,1717389,659428,652700,3292570,2068168,1659792,3037841
1032846,2973907,3427392,948627,1625195,2668311,309129,3036045,3164770,409975,2784247
1514041,2940128,3456633,3216362,2586966,1372926,485544,2023292,406081,427966,924437
243736,840250,3326999,417713,2057803,3428426,2737364,2054312,642454,2994722,2464303
453562,220576,655165,2357350,1345881,1353285,193603,894883,2068168,1192900,1077744
24034,143863,2521748,242560,2836169,1055167,3017117,3223984,1926098,1627412,971741
914837,2210183,1336712,926074,2194142,518792,3468497,1626700,171306,2567110,479716
1335975,1682705,1788921,3296262,83633,1999180,23245,822710,1914037,2242150,2233004
83511,1482501,1431925,3100794,1336473,1688429,1040214,1132335,960337,3295523,119843
